event_key,symbol,period_ended,prior_earnings_count,prior_abn_ret_1d_mean_2,prior_abn_ret_1d_mean_4,prior_abn_ret_1d_mean_8,prior_abn_ret_3d_mean_2,prior_abn_ret_3d_mean_4,prior_abn_ret_3d_mean_8,prior_abn_ret_5d_mean_2,prior_abn_ret_5d_mean_4,prior_abn_ret_5d_mean_8,prior_abn_ret_1d_median_4,prior_abn_ret_1d_median_8,prior_abn_ret_3d_median_4,prior_abn_ret_3d_median_8,prior_abn_ret_1d_std_4,prior_abn_ret_1d_std_8,prior_abn_ret_3d_std_4,prior_abn_ret_3d_std_8,prior_positive_rate_4,prior_positive_rate_8,prior_negative_rate_4,prior_negative_rate_8,prior_neutral_rate_4,prior_neutral_rate_8,prior_reaction_streak,prior_reaction_trend_4,prior_reaction_trend_8,prior_avg_reaction_magnitude_4,prior_avg_reaction_magnitude_8,prior_days_since_last,prior_last_reaction_class,prior_last_abn_ret_1d,prior_last_abn_ret_3d,prior_last_abn_ret_5d,prior_abn_ret_5d_median_4,prior_abn_ret_5d_std_4,prior_abn_ret_5d_median_8,prior_abn_ret_5d_std_8,prior_avg_reaction_magnitude_2
HINDALCO_2019-06-30,HINDALCO,2019-06-30,57,-0.01416683763554133,-0.009132172440431102,-0.005864412972109184,-0.019254458717544443,-0.020310901508231838,-0.011815123925996804,0.007508374415877539,-0.00868732076231804,-0.0004354612183174178,-0.007736008553065943,-0.007736008553065943,-0.021367344298919233,-0.017385896623805963,0.009091099022935159,0.009955348209387515,0.004483590900628655,0.012772031030071485,0.0,0.0,0.75,0.5,0.25,0.5,1.0,0.09999999999999999,-0.07142857142857142,0.016481506013898473,0.019169427770768632,91.0,NEGATIVE,-0.006880942527112466,-0.024504375552827695,0.00040804685326456536,0.0004898342623351759,0.028553508973628194,0.0004898342623351759,0.031202174306989083,0.007508374415877539
HINDALCO_2019-09-30,HINDALCO,2019-09-30,58,0.0047924571144484784,-0.0028679396066738916,-0.004810688805834545,-0.004242835968643333,-0.010814366296224648,-0.009470273441765195,0.0028449778647380297,-0.0075097489611166135,0.00013080838503712333,-0.003242441219367398,-0.007736008553065943,-0.017385896623805963,-0.017385896623805963,0.01576861972609469,0.011894162619199353,0.018408939276019845,0.015992197861669832,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.2,0.023809523809523832,0.0176590778150999,0.019735697374123173,92.0,NEUTRAL,0.016465856756009423,0.01601870361554103,0.005281908876211494,0.0028449778647380297,0.02915346339880403,0.0004898342623351759,0.031267836796965,0.0028449778647380297
HINDALCO_2019-12-31,HINDALCO,2019-12-31,59,-0.0032036782677689613,-0.008685257951655145,-0.005836076530079379,0.009042994204123356,-0.005105732256710543,-0.00654908576189174,-0.008090627463430422,-0.00029112652377644155,0.0005735844548558078,-0.01416683763554133,-0.007736008553065943,-0.005968628544777754,-0.0062142446369768956,0.01825870216717241,0.01315258228847507,0.017824983768051222,0.01565296146082323,0.0,0.0,0.25,0.375,0.75,0.625,2.0,0.09999999999999996,0.011904761904761937,0.010440455377759728,0.01929292130430449,92.0,NEUTRAL,-0.022873213291547345,0.0020672847927056814,-0.021463163803072338,0.0028449778647380297,0.015294962339863667,0.0004898342623351759,0.0308837612737077,0.013372536339641916
HINDALCO_2020-03-31,HINDALCO,2020-03-31,60,-0.024986934359160662,-0.010097238622356092,-0.009875352464696438,-0.0017886109008531381,-0.0030157234347482353,-0.00745165566223166,-0.04247805245095709,-0.019816537293109532,-0.006978466927213253,-0.014877077909329905,-0.008778596286277307,-0.0017886109008531381,-0.009824524238336574,0.019733932776016372,0.014195044252285452,0.01689989207584396,0.015322204932680824,0.0,0.0,0.25,0.375,0.75,0.625,3.0,0.30000000000000004,0.08333333333333334,0.02266151515784756,0.02684497268637355,91.0,NEUTRAL,-0.02710065542677398,-0.005644506594411958,-0.06349294109884185,-0.010527558474903886,0.03135445440057267,0.0004898342623351759,0.038380753161933,0.04247805245095709
HINDALCO_2020-06-30,HINDALCO,2020-06-30,61,-0.0021530370003563504,-0.002678357634062656,-0.005905265037246879,0.002555318682426755,0.005799156443275055,-0.007255872532478391,-0.04116057771795767,-0.024625602590694046,-0.016656461676506043,-0.0032036782677689613,-0.007736008553065943,0.006411214375985574,-0.009824524238336574,0.025946434523689662,0.018326016202268227,0.009554846002618593,0.015573160340589495,0.0,0.0,0.0,0.375,1.0,0.625,4.0,0.0,0.1547619047619048,0.027266557028799793,0.021874031521349133,91.0,NEUTRAL,0.022794581426061278,0.010755143959265467,-0.01882821433707349,-0.020145689070072914,0.02857003076943103,-0.009210083741904462,0.027781561855460348,0.04116057771795767
HINDALCO_2020-09-30,HINDALCO,2020-09-30,62,0.01580976513870147,-0.004588584610229596,-0.0037282621084517437,0.01987420405776963,0.009042796578458245,-0.0008857848588832012,-0.016308748274453277,-0.029393400362705185,-0.0184515746619109,-0.007024132220102841,-0.003242441219367398,0.006411214375985574,-0.0017886109008531381,0.024295964277759815,0.018984019532278844,0.014892144789463144,0.018786807301017422,0.25,0.125,0.0,0.25,0.75,0.625,1.0,0.29999999999999993,0.2023809523809525,0.029393400362705185,0.023526239088902542,92.0,POSITIVE,0.008824948851341663,0.02899326415627379,-0.013789282211833065,-0.020145689070072914,0.022954875947749902,-0.016308748274453277,0.02696119081489031,0.016308748274453277
HINDALCO_2020-12-31,HINDALCO,2020-12-31,63,0.007127298956122852,0.0024871309778832507,-0.0030990634868859473,0.0184876944075405,0.010521506544983628,0.002707887144136542,0.0020296121762720665,-0.0195654827708428,-0.009928304647309621,0.007127298956122852,-0.0007256467331042127,0.009368634309036339,0.005024704725756446,0.02110810267882027,0.01922216413924718,0.014248378350752294,0.01711582467861156,0.25,0.125,0.0,0.125,0.75,0.75,1.0,0.10000000000000002,0.11904761904761905,0.0284897360530314,0.019465095715395564,92.0,NEUTRAL,0.00542964906090404,0.00798212465880721,0.017848506564377198,-0.016308748274453277,0.03348301186559828,-0.00669061767928425,0.026208356048042006,0.01581889438810513
HINDALCO_2021-03-31,HINDALCO,2021-03-31,64,-0.0016799155833516766,0.007064924777674897,-0.0015161569223405974,0.025220213515581347,0.022547208786675488,0.009765742675963626,0.04389343821685221,0.013792344971199466,-0.003012096160955033,0.007127298956122852,-0.0007256467331042127,0.01987420405776963,0.009368634309036339,0.01296862968548069,0.017975857147539066,0.016219306871250234,0.020538965790457494,0.5,0.25,0.0,0.125,0.5,0.625,1.0,0.2000000000000001,0.20238095238095244,0.030101093245652744,0.026381304201750153,90.0,POSITIVE,-0.008789480227607394,0.04245830237235548,0.06993836986932722,0.0020296121762720665,0.04079900164783245,-0.00669061767928425,0.03817646053481619,0.04389343821685221
HINDALCO_2021-06-30,HINDALCO,2021-06-30,65,-0.002262274971125966,0.002432511992498443,-0.00012292282078210648,0.011595895795392164,0.015041795101466332,0.010420475772370694,0.027905597147448447,0.014967604661860257,-0.004828998964416895,0.004847289673129751,0.004847289673129751,0.0184876944075405,0.009368634309036339,0.007727374409401536,0.017932537530362332,0.02691472434093147,0.019338876995679086,0.5,0.25,0.0,0.0,0.5,0.75,1.0,-0.2,0.07142857142857142,0.028925833554991953,0.028096195291895873,91.0,NEUTRAL,0.004264930285355462,-0.019266510781571156,-0.014127175574430328,0.0020296121762720665,0.03959608315196015,-0.013958228893131697,0.03833598365302868,0.042032772721878775
HINDALCO_2021-09-30,HINDALCO,2021-09-30,66,-0.007408833987940844,-0.00454437478564626,-0.004566479697937928,-0.008866549645280608,0.00817683193515037,0.008609814256804307,-0.008047550263341474,0.017922943976755368,-0.005735228192974909,-0.002262274971125966,-0.002262274971125966,0.004757768074908575,0.005024704725756446,0.01163995804066207,0.0176366153990613,0.025641952739767986,0.019417800889696937,0.25,0.25,0.0,0.0,0.75,0.75,2.0,-0.09999999999999996,0.02380952380952382,0.025970494240096842,0.027681947301401014,92.0,NEUTRAL,-0.01908259826123715,0.0015334114910099395,-0.00196792495225262,0.007940290806062289,0.0370965717270939,-0.013958228893131697,0.038148055135486504,0.008047550263341474
