target,class,split,count,pct,check,mean,std,min,max,median,q1,q3,missing_count,infinite_count
reaction_class,POSITIVE,SYMBOL_JIOFIN,1,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_JSWSTEEL,7,17.07,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_JSWSTEEL,26,63.41,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_JSWSTEEL,8,19.51,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_KOTAKBANK,5,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_KOTAKBANK,32,80.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_KOTAKBANK,3,7.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_LT,3,7.32,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_LT,33,80.49,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_LT,5,12.2,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_M&M,7,17.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_M&M,28,70.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_M&M,5,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_MARUTI,5,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_MARUTI,27,67.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_MARUTI,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_MAXHEALTH,6,27.27,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_MAXHEALTH,8,36.36,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_MAXHEALTH,8,36.36,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_NESTLEIND,3,27.27,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_NESTLEIND,6,54.55,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_NESTLEIND,2,18.18,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_NTPC,8,19.51,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_NTPC,24,58.54,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_NTPC,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_ONGC,10,25.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_ONGC,24,60.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_ONGC,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_POWERGRID,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_POWERGRID,26,65.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_POWERGRID,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_RELIANCE,4,9.3,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_RELIANCE,33,76.74,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_RELIANCE,6,13.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_SBILIFE,3,9.09,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_SBILIFE,24,72.73,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_SBILIFE,6,18.18,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_SBIN,11,27.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_SBIN,21,52.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_SBIN,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_SHRIRAMFIN,10,25.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_SHRIRAMFIN,20,50.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_SHRIRAMFIN,10,25.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_SUNPHARMA,7,17.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_SUNPHARMA,25,62.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_SUNPHARMA,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TATACONSUM,9,22.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TATACONSUM,21,52.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TATACONSUM,10,25.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TATASTEEL,11,27.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TATASTEEL,22,55.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TATASTEEL,7,17.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TCS,7,17.07,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TCS,25,60.98,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TCS,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TECHM,7,17.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TECHM,22,55.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TECHM,11,27.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TITAN,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TITAN,26,65.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TITAN,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TMPV,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TMPV,21,52.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TMPV,11,27.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_TRENT,6,16.67,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_TRENT,19,52.78,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_TRENT,11,30.56,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_ULTRACEMCO,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_ULTRACEMCO,27,67.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_ULTRACEMCO,7,17.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_WIPRO,7,17.5,symbol_distribution,,,,,,,,,
